WallTime,ModelIterations,CommunicationRound,TestAccuracy,Loss
1.9073486328125e-06,0,0,0.49751242995262146,4.122026737649643
3.876929521560669,0,0,0.49751242995262146,4.122026737649643
5.909742116928101,0,0,0.49751242995262146,4.122026737649643
7.941826343536377,8,8,8.457711219787598,3.661259437674907
9.960761547088623,12,20,31.840795516967773,3.4520316811936413
11.984744310379028,14,29,34.3283576965332,3.1100107069632306
14.0006422996521,21,43,39.30348205566406,2.7089253136174594
16.030122995376587,29,56,46.766170501708984,2.065632758448966
18.053219079971313,36,70,46.766170501708984,2.307519106129509
20.091305017471313,42,85,49.751243591308594,2.1371630768277754
22.135072708129883,48,97,58.208953857421875,1.6720947721111241
24.150460958480835,54,113,53.73134231567383,1.785484959237018
26.173508882522583,65,130,56.7164192199707,1.8664143880208333
28.1873037815094,71,147,58.208953857421875,1.8172120810741217
30.218003511428833,76,159,59.70149230957031,1.7464708166929026
32.23627686500549,84,175,58.70646667480469,1.8936302982159514
34.27383017539978,89,191,58.208953857421875,1.7475362749242072
36.30177640914917,94,205,57.213932037353516,1.8358281073878653
38.332037925720215,96,218,60.69651794433594,1.8229836231440455
40.34479022026062,102,236,62.68656539916992,1.5368141440016714
42.37014436721802,109,251,58.70646667480469,1.870361479953747
44.38558840751648,113,268,60.69651794433594,1.8070795619072606
46.44454574584961,117,279,63.68159103393555,1.7166387833173002
48.4615957736969,121,293,62.68656539916992,1.8966403031230565
50.47364854812622,128,309,61.19403076171875,1.8649049066192476
52.489821672439575,138,327,66.66666412353516,1.385119272108695
54.517659187316895,141,339,64.67662048339844,1.4518450836637127
56.53409743309021,146,354,65.17412567138672,1.3972439362635067
58.54635405540466,151,370,65.17412567138672,1.5130853985079484
60.56195259094238,159,388,63.68159103393555,1.543777124205632
62.587273836135864,164,404,69.15422821044922,1.5370829947552278
64.61908292770386,170,417,63.68159103393555,1.6911318954543688
66.62986469268799,176,434,63.68159103393555,1.8025204103384445
68.64581561088562,187,454,61.69154357910156,1.829051610842273
70.67761373519897,192,467,61.69154357910156,2.072167543629509
72.70949411392212,195,481,62.189056396484375,1.6795855849536496
74.73800802230835,196,492,62.189056396484375,1.7377454463522233
76.75415802001953,199,505,60.199005126953125,1.9337839914198538
78.76530647277832,203,520,69.15422821044922,1.3062585100012631
80.78072142601013,209,533,66.16915130615234,1.6042560558413985
82.79759907722473,214,548,66.16915130615234,1.485001369495297
84.81350708007812,217,563,66.66666412353516,1.5727166702498252
86.830087184906,222,577,62.68656539916992,1.6335592317343943
88.86232542991638,229,594,69.65174102783203,1.2398349894813043
90.89649319648743,234,608,68.1592025756836,1.355389115822256
92.92110633850098,242,623,68.1592025756836,1.3381219360958878
94.93703079223633,245,639,65.67163848876953,1.491537597048935
96.96716475486755,253,655,68.1592025756836,1.3096300950690882
98.99613785743713,257,668,68.1592025756836,1.3521816955870063
101.03493738174438,266,683,71.14427947998047,1.6078307498153763
103.05049467086792,270,696,69.65174102783203,1.4013110867780239
105.0635712146759,280,712,70.64676666259766,1.369074921109783
107.07767248153687,284,728,71.14427947998047,1.4191855814919543
109.08897304534912,294,746,73.13433074951172,1.2736083073402518
111.11602973937988,303,760,66.16915130615234,1.6088372225785137
113.1258225440979,308,777,70.64676666259766,1.532025655110677
115.15488529205322,311,788,65.67163848876953,1.6260090538518346
117.17331194877625,318,803,69.15422821044922,1.681350214564385
119.1952896118164,324,820,68.6567153930664,1.6239347315546293
121.22552156448364,332,836,74.62686920166016,1.254007254073869
123.26182460784912,337,849,71.14427947998047,1.4451465891368354
125.28049445152283,341,863,67.66168975830078,1.5536760548454018
127.31307077407837,347,875,68.1592025756836,1.5471862489311257
129.3327293395996,353,892,67.66168975830078,1.4624944278849892
131.3578290939331,363,909,71.64179229736328,1.3131848615200366
133.38501143455505,369,923,71.64179229736328,1.4386884774734725
135.40735006332397,373,935,72.1393051147461,1.5073980834353622
137.42265152931213,374,948,71.64179229736328,1.5209188129178328
139.4348418712616,384,968,68.6567153930664,1.7309926350911458
141.48034024238586,387,980,67.66168975830078,1.69308130065007
143.49203658103943,395,998,70.64676666259766,1.6304625326128148
145.52543449401855,404,1015,72.1393051147461,1.5743266243246656
147.55088472366333,412,1032,71.64179229736328,1.5805528934915267
149.56693696975708,414,1044,77.6119384765625,1.2628987250636465
151.59321188926697,417,1056,73.63184356689453,1.4683285993130053
153.61769318580627,427,1073,73.63184356689453,1.3486659870811957
155.63381218910217,434,1091,71.64179229736328,1.407385982684235
157.65416193008423,439,1101,72.6368179321289,1.4415567122881685
159.6654567718506,444,1118,71.64179229736328,1.390247288034923
161.719708442688,452,1134,72.1393051147461,1.5707362160753848
163.74468564987183,458,1149,72.1393051147461,1.661577177284962
165.76147389411926,460,1162,74.12935638427734,1.5787992335077543
167.77783274650574,466,1182,75.62188720703125,1.389597916484472
169.81436395645142,477,1198,72.1393051147461,1.5840277980216106
171.8258183002472,480,1211,73.13433074951172,1.480822776680562
173.85473680496216,484,1224,66.16915130615234,1.7756180265056554
175.86581349372864,494,1242,70.64676666259766,1.4506153846854595
177.88981437683105,500,1257,77.6119384765625,1.3325147866016596
179.90579175949097,509,1273,77.11442565917969,1.3439687093098958
