idx,CommunicationRound,TimeCost
6,0,16.05070185661316
6,1,Error,10.177058816374622
6,2,Error,1.1083326905817639
6,3,Error,7.146974633343851
6,4,Error,3.0753448243818386
6,5,3.3743090629577637
6,6,3.2979397773742676
6,7,3.208866596221924
6,8,Error,7.095607779899656
6,9,3.2762560844421387
6,10,Error,8.64405801316817
6,11,Error,1.095050294022
6,12,Error,13.647085950143415
6,13,4.424222469329834
6,14,4.508525848388672
6,15,Error,0.7095834936929152
6,16,Error,11.687033505317821
6,17,3.371812343597412
6,18,Error,5.810607922511186
6,19,Error,3.6684185746101177
6,20,3.2361507415771484
6,21,Error,5.403229245640615
6,22,Error,8.957159849986262
6,23,Error,3.5145831907933167
6,24,Error,3.7795715188466112
6,25,4.516878843307495
6,26,Error,3.284424996663556
6,27,3.386141061782837
6,28,Error,9.978622966083114
6,29,Error,5.722865581156579
6,30,Error,7.338758263938781
6,31,Error,4.899186979129327
6,32,Error,2.0265863352242035
6,33,Error,9.377889772181675
6,34,3.7344601154327393
6,35,4.842251539230347
6,36,4.4249677658081055
6,37,4.4886274337768555
6,38,Error,5.563622128431573
6,39,Error,8.928783237289066
6,40,Error,3.7259605764132453
6,41,Error,9.727576562360207
6,42,Error,6.660115957661481
6,43,Error,6.288432273043412
6,44,4.918601036071777
6,45,Error,2.629964350905146
6,46,Error,10.434655713017271
6,47,Error,10.23259937364541
6,48,Error,9.176341471677581
6,49,Error,5.048082187531009
6,50,3.806593418121338
6,51,Error,8.102431040777228
6,52,Error,2.5668733147129834
6,53,4.671680212020874
6,54,Error,6.310296782583484
6,55,Error,4.7529319148734634
6,56,Error,9.397220234110005
6,57,Error,7.726153061670328
6,58,Error,7.03941193498144
6,59,Error,4.725000540853553
6,60,Error,10.206751538798029
6,61,3.281890869140625
6,62,Error,5.912015413765157
6,63,Error,8.817877993677724
6,64,3.4187052249908447
6,65,Error,7.437344737258587
6,66,Error,3.628790214928808
6,67,Error,8.04827095136606
6,68,Error,0.07753396286968983
