idx,CommunicationRound,TimeCost
6,0,6.745158910751343
6,1,Error,1.803798543437091
6,2,Error,0.17625635238227896
6,3,Error,0.7602418344200033
6,4,Error,0.46978895494250095
6,5,0.6243729591369629
6,6,0.44835734367370605
6,7,0.38477349281311035
6,8,Error,1.4468442545783418
6,9,0.5275759696960449
6,10,Error,1.0392679635094055
6,11,Error,0.12816186652758702
6,12,Error,2.0066336522013226
6,13,0.5809180736541748
6,14,0.5687844753265381
6,15,Error,0.05596015318480361
6,16,Error,2.141074043587578
6,17,0.5018458366394043
6,18,Error,1.1240468497279492
6,19,Error,0.9692049176958499
6,20,0.48381924629211426
6,21,Error,1.2172383775781113
6,22,Error,1.3594898673947728
6,23,Error,0.7446740716143168
6,24,Error,0.5488784999946273
6,25,0.3399198055267334
6,26,Error,0.672332303852389
6,27,0.5370573997497559
6,28,Error,1.7355512121643273
6,29,Error,1.19472042611269
6,30,Error,1.3599216292921519
6,31,Error,0.875028744544001
6,32,Error,0.28555675496540855
6,33,Error,1.0811651420858277
6,34,0.7244830131530762
6,35,0.7061967849731445
6,36,0.4982609748840332
6,37,0.4895927906036377
6,38,Error,0.7779507338768619
6,39,Error,0.7640856911084457
6,40,Error,0.354939035619844
6,41,Error,0.9742706411829434
6,42,Error,0.9631504899877013
6,43,Error,0.8351167952918385
6,44,0.6397621631622314
6,45,Error,0.30527306237377183
6,46,Error,1.2525132733859732
6,47,Error,1.6473251876488462
6,48,Error,1.3584635534117138
6,49,Error,0.6762996120123003
6,50,0.9166576862335205
6,51,Error,0.7814210626499632
6,52,Error,0.2986340651132763
6,53,0.519054651260376
6,54,Error,0.8836541843969669
6,55,Error,0.8296049170719179
6,56,Error,1.2786611566541022
6,57,Error,1.567219800811958
6,58,Error,0.7992914688585869
6,59,Error,0.9388511541834429
6,60,Error,2.242805081468115
6,61,0.5182640552520752
6,62,Error,1.1701778033456496
6,63,Error,1.1412954856015587
6,64,0.6004996299743652
6,65,Error,1.2740731536795622
6,66,Error,0.4049195145253961
6,67,Error,1.1266892641532038
6,68,Error,0.01423687906184317
6,69,Error,1.4668734733636297
6,70,Error,1.6107751243630704
6,71,Error,0.6872096444362241
6,72,Error,0.7798545878130391
6,73,Error,0.36000361654844615
6,74,Error,0.3972651123729002
6,75,Error,1.7977408151160492
6,76,Error,0.531544803998086
6,77,Error,0.565148646406469
6,78,0.5964562892913818
6,79,Error,0.20527454903264591
6,80,Error,1.4516101736137943
6,81,0.6877281665802002
6,82,Error,0.24549710471071576
6,83,0.5658814907073975
6,84,Error,1.119948458955726
6,85,0.5665285587310791
6,86,Error,0.35373109415596843
6,87,Error,0.15663248478395753
6,88,Error,1.4146943998263315
6,89,Error,1.5830059712113305
6,90,Error,0.8523914442188877
6,91,0.5806403160095215
6,92,Error,1.8717264108702951
6,93,Error,0.26785890230559395
6,94,0.44775819778442383
6,95,Error,1.2377178120273526
6,96,Error,0.3013171335535162
6,97,0.4917721748352051
6,98,Error,0.08947187512714863
6,99,0.38884758949279785
6,100,Error,0.035968979800482546
6,101,Error,1.0858458435119809
6,102,Error,0.29960288511404193
6,103,0.34499049186706543
6,104,0.6391448974609375
6,105,Error,0.3885436019470503
6,106,0.5480797290802002
6,107,Error,0.37022152791381024
6,108,Error,0.8136698394702253
6,109,0.47020697593688965
6,110,Error,0.795617943123293
6,111,0.2940373420715332
6,112,Error,0.5842388106505906
6,113,0.4566929340362549
6,114,Error,1.4598937554971827
6,115,0.5849590301513672
6,116,Error,0.5695419214561906
6,117,Error,1.8252354144609806
6,118,Error,0.46899512355705936
6,119,Error,0.04783969236943212
6,120,Error,0.0790821538519872
6,121,Error,0.27268137823620164
6,122,Error,0.2905091008468445
6,123,0.5080258846282959
6,124,Error,0.4334342707993355
6,125,0.5262947082519531
6,126,Error,1.097219903711178
6,127,0.6292774677276611
6,128,Error,0.4851884688005262
6,129,0.37544679641723633
6,130,0.49730348587036133
6,131,0.3280651569366455
6,132,Error,0.1311360756106937
6,133,Error,1.0648132256002876
6,134,Error,0.09044065594092135
6,135,Error,0.32360971706728797
6,136,Error,1.5500823723110921
6,137,0.3609790802001953
6,138,Error,0.44397645285232995
6,139,Error,0.4178620627423286
6,140,Error,0.09503062810377179
6,141,Error,0.88218759278539
6,142,Error,0.6063314708226767
6,143,0.4845905303955078
6,144,Error,0.3462248363106849
6,145,0.5282158851623535
6,146,Error,1.0693448747285945
6,147,Error,0.03860358313585076
6,148,0.3966360092163086
6,149,Error,0.39446889196000834
6,150,Error,1.0354150775019315
6,151,Error,0.6006734814697322
6,152,0.4844202995300293
6,153,Error,0.6669106929268389
6,154,Error,0.8744126664620263
6,155,0.5739426612854004
6,156,Error,1.114568429237645
6,157,Error,0.2177885769650901
6,158,Error,0.6046259992200262
6,159,Error,0.3094072116196443
6,160,Error,0.05019012277915344
6,161,0.41475582122802734
6,162,Error,0.07212442696342722
6,163,0.4405350685119629
6,164,Error,1.0000925499760602
6,165,Error,0.9585284780970892
6,166,Error,1.1436790929933307
6,167,Error,0.8768537136778951
6,168,Error,1.4299237386320385
6,169,Error,0.16616218937354316
6,170,0.4297764301300049
6,171,Error,0.013128001895222037
6,172,Error,0.4797064795841981
6,173,Error,0.8971408041884892
6,174,0.45570969581604004
6,175,Error,1.5851996366722487
6,176,Error,1.1025188245161992
6,177,Error,0.12982159415562772
6,178,Error,0.3371947262533026
6,179,Error,0.6606649330374444
6,180,Error,1.1915237718778668
6,181,Error,0.6570593115845592
6,182,Error,0.119171688961241
6,183,Error,0.35698059883543426
6,184,Error,1.0215371031583858
6,185,Error,0.0127691822206939
6,186,Error,1.4385069121820944
6,187,Error,0.47277478072533924
6,188,Error,1.1069201588449944
6,189,Error,0.5655475654814353
6,190,Error,0.5080705772876762
6,191,0.3013014793395996
6,192,Error,0.8990816354971578
6,193,0.5612587928771973
6,194,Error,0.4373257589308101
6,195,0.4987475872039795
6,196,Error,1.2506040109181895
6,197,Error,0.5307523766165679
6,198,Error,1.0248517660612775
6,199,0.6092276573181152
6,200,0.5344562530517578
6,201,0.4363870620727539
6,202,0.3321514129638672
6,203,Error,0.5204840533194758
6,204,Error,0.9706947626967868
6,205,Error,0.7925283987935762
6,206,Error,0.22608333336593273
6,207,0.5861790180206299
6,208,Error,1.6175977888956048
6,209,0.4949498176574707
6,210,0.6927101612091064
6,211,Error,0.08520813988827167
6,212,Error,0.8328145282658986
