idx,CommunicationRound,TimeCost
9,0,Error,16.03697952625629
9,1,Error,0.5464268030704179
9,2,0.2733135223388672
9,3,Error,0.3406969719922846
9,4,Error,0.2669492230718383
9,5,Error,0.17132805894465483
9,6,0.3334207534790039
9,7,Error,0.5085863936510175
9,8,Error,0.06715684272613154
9,9,Error,0.07829839280890015
9,10,Error,0.23317687982508487
9,11,Error,0.0973259986684817
9,12,Error,0.6976613542312248
9,13,Error,0.010588170310201445
9,14,Error,0.11235735998022003
9,15,Error,0.368533767798099
9,16,Error,0.447582452236544
9,17,Error,0.7649199280509495
9,18,Error,0.8341719994781274
9,19,Error,0.0952795753672239
9,20,Error,0.3702247979909203
9,21,0.27919697761535645
9,22,0.2672262191772461
9,23,Error,0.2577909111326924
9,24,0.2817223072052002
9,25,Error,0.04439723316406548
9,26,Error,0.3885019783344367
9,27,Error,0.6140029263772392
9,28,Error,0.0699021621761411
9,29,Error,0.03684403788043123
9,30,Error,0.41480968972840526
9,31,Error,0.5396940966491238
9,32,Error,0.26403863406377154
9,33,Error,0.3091903122000775
9,34,Error,0.1880214525902124
9,35,Error,0.7310853824386947
9,36,Error,0.002719681614977543
9,37,Error,0.33430829040801935
9,38,0.2782313823699951
9,39,Error,0.24211426236315722
