idx,CommunicationRound,TimeCost
9,0,29.423707246780396
9,1,16.694157361984253
9,2,14.8992178440094
9,3,11.051934242248535
9,4,Error,6.764654147436368
9,5,Error,5.102222746245524
9,6,Error,3.5093223421083963
9,7,6.417068719863892
9,8,Error,20.94193629235863
9,9,Error,3.366818885495848
9,10,Error,3.0947589901579504
9,11,5.098614931106567
9,12,5.332042455673218
9,13,Error,0.3768303265785789
9,14,5.611770391464233
9,15,Error,0.21185206918488533
9,16,Error,1.9475768813028096
9,17,5.101833820343018
9,18,Error,13.45741436779617
9,19,Error,3.1168252522290376
9,20,12.202814817428589
9,21,16.77221369743347
9,22,Error,3.9045246713316004
9,23,10.946903705596924
9,24,5.207027196884155
9,25,Error,14.246441930309317
9,26,8.182719469070435
9,27,16.765740633010864
9,28,13.107496738433838
9,29,Error,21.711003326469108
9,30,Error,9.676629474795647
9,31,4.90420937538147
9,32,Error,2.3091941551331465
9,33,Error,0.7987730287480708
9,34,Error,8.228839447617892
9,35,Error,23.30135285074208
9,36,Error,15.633767507258634
9,37,Error,6.277995565559235
9,38,Error,3.532655438690639
9,39,5.225759744644165
9,40,7.107462406158447
9,41,Error,6.244026625169554
9,42,Error,13.073171023986186
