idx,CommunicationRound,TimeCost
7,0,7.0073230266571045
7,1,Error,1.8676170557731278
7,2,Error,1.8007740529543244
7,3,Error,2.569913213074724
7,4,1.2469170093536377
7,5,1.3918108940124512
7,6,Error,1.0297399933258098
7,7,Error,0.8354648891296707
7,8,1.364086389541626
7,9,Error,1.266651716383342
7,10,1.1734471321105957
7,11,1.2214388847351074
7,12,Error,2.1015456514478363
7,13,Error,1.283481717459496
7,14,Error,3.338893079402225
7,15,1.2024636268615723
7,16,Error,0.8559424025905897
7,17,Error,1.6689245991076012
7,18,Error,2.783056624909088
7,19,Error,1.3683193156834934
7,20,1.3919470310211182
7,21,Error,0.5844212633302891
7,22,Error,2.3580518988193595
7,23,Error,3.6218317702139413
7,24,1.3388245105743408
7,25,1.4097530841827393
7,26,1.3333520889282227
7,27,1.2140614986419678
7,28,Error,3.4884420146432764
7,29,Error,0.9945742416435244
7,30,1.2795045375823975
7,31,Error,3.085624470242753
7,32,Error,3.768415596489263
7,33,Error,2.2773710730792174
7,34,Error,2.6656099409351017
7,35,Error,2.106237191631821
7,36,Error,0.40638329519342326
7,37,1.376082420349121
7,38,Error,2.378657894130768
7,39,Error,3.4029304229446073
7,40,Error,0.7409280929442507
7,41,1.3972587585449219
7,42,Error,0.24158344987561423
7,43,1.4152171611785889
7,44,1.39542818069458
7,45,Error,4.053786325467277
7,46,Error,3.143700255146446
7,47,1.3796308040618896
7,48,Error,2.110371388350367
7,49,Error,2.1639482610958445
7,50,1.426151990890503
7,51,Error,1.9786691647937822
7,52,1.3744044303894043
7,53,1.1776905059814453
7,54,Error,1.0836375156549976
7,55,Error,0.6108181069414115
7,56,1.2102882862091064
7,57,Error,3.3020835483715016
7,58,Error,3.519579159105461
7,59,Error,0.3683793086082243
7,60,1.3763668537139893
7,61,1.4196648597717285
7,62,1.2088367938995361
7,63,Error,1.9446490074761282
7,64,Error,3.7005735725064386
7,65,1.3967742919921875
7,66,Error,0.08474587721777856
7,67,1.3580739498138428
