idx,CommunicationRound,TimeCost
3,0,9.24223279953003
3,1,2.9780263900756836
3,2,Error,6.552240398184181
3,3,Error,6.446590649425409
3,4,2.9786508083343506
3,5,Error,8.084846607142506
3,6,Error,7.255524363520903
3,7,Error,4.919609974087509
3,8,Error,5.876377610568074
3,9,Error,0.7565094194387628
3,10,3.0100066661834717
3,11,3.0481173992156982
3,12,3.0129237174987793
3,13,3.087264060974121
3,14,Error,5.750911553345132
3,15,Error,7.922992410490889
3,16,Error,4.083985903462089
3,17,3.1129605770111084
3,18,Error,7.503093354294103
3,19,Error,0.25910549823365725
3,20,Error,4.946824555115689
3,21,Error,6.291390044971463
3,22,Error,4.3913207794507985
3,23,Error,0.8720942925492593
3,24,Error,7.972017850576501
3,25,Error,1.3010581213088535
3,26,Error,0.17550962539833823
3,27,3.036750316619873
3,28,Error,5.2733020335888625
3,29,Error,2.7747263306758048
3,30,3.0476279258728027
3,31,Error,3.5684456376611053
3,32,Error,9.1381311678982
3,33,Error,8.727677072394528
3,34,Error,0.327381018035218
3,35,Error,2.141017862796594
3,36,Error,2.2981903054825747
3,37,3.100085735321045
3,38,3.0726327896118164
3,39,Error,5.477499129383983
3,40,3.719724416732788
