idx,CommunicationRound,TimeCost
0,0,7.969844818115234
0,1,1.463594675064087
0,2,1.4603838920593262
0,3,1.4597034454345703
0,4,1.4598541259765625
0,5,1.4572551250457764
0,6,1.4665894508361816
0,7,Error,4.312279535329103
0,8,1.4739580154418945
0,9,1.4692351818084717
0,10,1.476085901260376
0,11,1.4612362384796143
0,12,Error,2.028379525296864
0,13,1.4744102954864502
0,14,1.4765138626098633
0,15,1.4721801280975342
0,16,1.4849462509155273
0,17,1.4802439212799072
0,18,1.482344388961792
0,19,1.4790184497833252
0,20,Error,3.364006642187521
0,21,1.4777512550354004
0,22,1.4790027141571045
0,23,Error,0.951425547569658
0,24,1.4859113693237305
0,25,1.489713430404663
0,26,1.4777112007141113
0,27,1.4835212230682373
0,28,1.4820892810821533
0,29,1.4897480010986328
0,30,1.4829096794128418
0,31,Error,3.527502910782405
0,32,1.4946577548980713
0,33,1.4858412742614746
0,34,1.5053753852844238
0,35,1.496983528137207
0,36,1.494431734085083
0,37,1.4869093894958496
0,38,1.4978139400482178
0,39,1.5071759223937988
0,40,1.4939088821411133
0,41,1.4986777305603027
0,42,1.5024480819702148
0,43,1.4849939346313477
0,44,1.4919037818908691
0,45,Error,2.6687798664099587
0,46,1.4956920146942139
0,47,1.4967262744903564
0,48,1.50645112991333
0,49,1.4981071949005127
0,50,1.4878144264221191
0,51,1.4958972930908203
0,52,1.4971954822540283
0,53,1.494737148284912
0,54,1.4887475967407227
0,55,1.4996414184570312
0,56,1.4915926456451416
0,57,1.4904696941375732
0,58,1.4971787929534912
0,59,1.4897820949554443
0,60,1.4953944683074951
0,61,1.4890971183776855
0,62,1.4958233833312988
0,63,1.4909558296203613
0,64,1.502166509628296
0,65,1.5013294219970703
0,66,1.491891860961914
0,67,Error,0.8142056882832203
0,68,1.5012726783752441
0,69,1.5001118183135986
0,70,1.5028891563415527
0,71,1.5015110969543457
0,72,1.5001003742218018
0,73,Error,4.084282983977865
0,74,1.5032052993774414
0,75,1.4898381233215332
0,76,1.4957120418548584
0,77,1.4950940608978271
0,78,1.4995369911193848
0,79,1.5104305744171143
0,80,1.509237289428711
0,81,1.5127549171447754
0,82,1.5057768821716309
