idx,CommunicationRound,TimeCost
2,0,30.480339765548706
2,1,15.434466123580933
2,2,12.469557285308838
2,3,2.237407922744751
2,4,6.4491798877716064
2,5,4.4592506885528564
2,6,2.223066568374634
2,7,4.470052719116211
2,8,5.770294904708862
2,9,6.127349376678467
2,10,8.250745296478271
2,11,10.559814453125
2,12,2.4494776725769043
2,13,8.308760404586792
2,14,6.501394033432007
2,15,8.615739583969116
2,16,10.149205684661865
2,17,14.15298080444336
2,18,18.87438726425171
2,19,22.823219060897827
2,20,26.175859212875366
2,21,29.59396243095398
2,22,4.244183540344238
2,23,2.1839277744293213
2,24,8.209893941879272
2,25,14.191353797912598
2,26,15.486277341842651
2,27,20.37593102455139
2,28,18.30419135093689
2,29,2.1046602725982666
2,30,4.417206287384033
2,31,10.290709495544434
2,32,2.117710590362549
2,33,4.406763076782227
2,34,8.362344741821289
2,35,12.37815260887146
2,36,16.171974658966064
2,37,18.040809869766235
2,38,22.54635524749756
2,39,24.29758358001709
2,40,24.574238061904907
2,41,14.415520429611206
2,42,18.259660720825195
2,43,20.332471132278442
2,44,24.348936319351196
2,45,26.50309944152832
2,46,22.236809492111206
