WallTime,ModelIterations,CommunicationRound,TestAccuracy,Loss
1.9073486328125e-06,0,0,0.9466111063957214,2.457750493042038
3.5327703952789307,0,0,0.9466111063957214,2.457750493042038
5.595910549163818,0,0,0.9466111063957214,2.457750493042038
7.675902366638184,37,45,10.564180374145508,3.0775552148035374
9.832683563232422,80,103,8.42483901977539,3.5356524480829092
11.975339412689209,122,165,11.775842666625977,3.2917039214729678
14.100368738174438,171,228,11.775842666625977,3.7649972143610153
16.25669813156128,220,294,11.586520195007324,3.620106947327238
18.389074087142944,277,360,12.003028869628906,3.6117144884010557
20.47669744491577,323,422,11.908368110656738,3.2293218596782345
22.61062717437744,375,483,11.775842666625977,2.7909558596641717
24.70727300643921,429,554,12.021961212158203,2.9857248779681087
26.81855273246765,482,622,12.059825897216797,3.2703361605117376
28.964205980300903,533,691,31.427490234375,2.562852415339778
31.128722667694092,595,758,33.47216796875,2.2604682139490917
33.25697088241577,640,818,33.66149139404297,2.1849175364580264
35.35638737678528,692,880,34.34305191040039,2.237359455434358
37.46569228172302,746,946,35.100341796875,2.0741904226838077
39.57171082496643,799,1013,34.34305191040039,2.207216174753269
41.71056270599365,859,1084,36.539188385009766,2.1132562681158036
43.85046744346619,916,1154,35.42218780517578,2.1848924736979334
46.018288373947144,960,1214,65.25936889648438,1.6309224392193278
48.187289237976074,1020,1279,65.39189910888672,1.4533943775836737
50.28260350227356,1071,1345,67.7962875366211,1.183475026699324
52.39400124549866,1121,1413,66.07345581054688,1.0711211868868953
54.52094268798828,1176,1477,65.22150421142578,1.0318931221555734
56.59613394737244,1222,1543,65.41082763671875,0.9854997003881916
58.758662939071655,1275,1609,63.669063568115234,1.0155240957008442
60.92398953437805,1326,1672,58.48163604736328,1.2130568940354676
63.01243019104004,1388,1747,53.38886642456055,1.3635209209311419
65.12547492980957,1447,1820,48.56114959716797,1.4898677124179525
67.22823095321655,1512,1895,46.535404205322266,1.5205431174414936
69.31669020652771,1559,1954,56.26656723022461,1.1508005492076057
71.42351460456848,1612,2019,60.469520568847656,0.9910269639158917
73.56070017814636,1654,2074,70.52252960205078,0.8935138409599712
75.69269323348999,1700,2134,69.02688598632812,0.9771742424569723
77.82388353347778,1759,2201,75.00946807861328,0.6267825204601165
79.97269177436829,1807,2263,74.6876220703125,0.6323505673403769
82.10048389434814,1856,2327,78.68231964111328,0.4708576832151422
84.24267578125,1904,2388,77.47065734863281,0.595340779144987
86.33299612998962,1957,2453,78.7391128540039,0.47836128031550734
88.50070071220398,2020,2522,78.39833068847656,0.5030236536808331
90.63279938697815,2064,2584,79.36387634277344,0.4266398979611173
92.79149627685547,2116,2648,93.73343658447266,0.36735539748243473
94.94674372673035,2166,2706,78.87164306640625,0.4382378068180957
97.03105139732361,2225,2782,78.34153747558594,0.5210956163557697
99.11270189285278,2295,2860,78.09542083740234,0.5990777955782296
101.21831750869751,2353,2925,77.90609741210938,0.631225017814508
103.28177165985107,2392,2983,94.16887664794922,0.38576363019478765
105.36137127876282,2448,3054,81.71147155761719,0.43570897058329544
107.5158703327179,2510,3126,78.05755615234375,0.4676971895897402
109.56038308143616,2559,3191,77.60317993164062,0.4989603242792107
111.71806144714355,2611,3253,95.03975677490234,0.3588253220670921
113.8541579246521,2665,3320,96.2892837524414,0.3103570920492451
115.99669289588928,2711,3385,96.25141906738281,0.30926615370184307
118.15244936943054,2767,3447,97.08443450927734,0.2606081052096853
120.22458076477051,2815,3506,96.95191192626953,0.25239505096339043
122.29669165611267,2868,3573,97.27375793457031,0.2407631909136901
124.41241002082825,2919,3638,96.98977661132812,0.24957573815435452
126.54871726036072,2978,3708,96.9329833984375,0.2565379000351042
128.65609049797058,3033,3773,96.74365997314453,0.26126211883753414
130.74280166625977,3086,3841,96.74365997314453,0.26070561871886117
132.86341643333435,3146,3913,96.44074249267578,0.26335735643752956
134.97273564338684,3197,3977,96.25141906738281,0.276057317976398
137.08234930038452,3251,4042,96.19462585449219,0.27031946791331
139.18786120414734,3298,4105,95.83490753173828,0.2716834550876479
141.28762316703796,3343,4169,97.16016387939453,0.20622316616721698
143.43662333488464,3396,4230,96.9329833984375,0.21457483428320573
145.55775094032288,3446,4295,97.5956039428711,0.1894943650814732
147.72386407852173,3502,4360,97.21696472167969,0.20530339992481372
149.86069440841675,3562,4427,97.57667541503906,0.1697107600072869
152.01183795928955,3611,4492,97.40628814697266,0.1822033441819135
154.16852617263794,3669,4563,97.42521667480469,0.1671269581001146
156.32582092285156,3719,4629,97.3116226196289,0.18076103384966585
158.45542693138123,3759,4688,97.3873519897461,0.16901303687623417
160.61669754981995,3807,4750,96.76258850097656,0.1893179138508068
162.74386596679688,3864,4820,96.59220123291016,0.1936824333503848
164.8808536529541,3924,4891,96.09996032714844,0.20655329872891787
167.03313541412354,3969,4946,96.00530242919922,0.20097809209319417
169.13118863105774,4015,5006,97.57667541503906,0.13624239634455876
171.25999402999878,4068,5068,97.29269409179688,0.14617757378262425
173.3927035331726,4108,5125,97.84172821044922,0.11742207101224973
175.51250410079956,4154,5184,98.01211547851562,0.10698554534796556
177.64330124855042,4201,5247,98.08784484863281,0.10170072323118295
179.79669857025146,4248,5308,98.06891632080078,0.10859764071935361
181.931569814682,4308,5381,97.70919799804688,0.1220998396798658
184.0490391254425,4365,5453,97.27375793457031,0.13445644298429427
186.21269917488098,4423,5520,97.84172821044922,0.1167295749466027
188.3696367740631,4478,5584,98.08784484863281,0.10059072909363966
190.51669645309448,4528,5643,97.82279205322266,0.11419412781953789
192.6058280467987,4578,5704,97.84172821044922,0.1038206366886304
194.69809198379517,4625,5771,97.955322265625,0.10240883868440157
196.8713822364807,4677,5832,98.1257095336914,0.09408494820116552
198.9806969165802,4726,5899,97.89852142333984,0.10292486120925194
201.13898706436157,4784,5967,98.2014389038086,0.09150747116090888
203.30469465255737,4841,6031,98.08784484863281,0.09971008182950078
205.42027807235718,4892,6090,98.16357421875,0.09059406303832733
207.47270131111145,4944,6156,98.18251037597656,0.08512007065091969
209.5925748348236,4992,6219,98.371826171875,0.08200146880005062
211.67653441429138,5037,6283,98.14464569091797,0.0871673692074216
213.74069261550903,5094,6357,98.16357421875,0.08511010157342877
215.832439661026,5146,6423,98.25823211669922,0.08326704563525043
217.92468309402466,5194,6483,98.22036743164062,0.08403053986164644
220.0248987674713,5244,6550,98.2014389038086,0.08400393826220522
222.15594625473022,5303,6614,98.29609680175781,0.07740014826470548
224.29804468154907,5350,6675,98.35289764404297,0.07936972909314655
226.45963406562805,5391,6726,98.31503295898438,0.07940320296806172
228.55655217170715,5434,6784,98.29609680175781,0.07939642687571129
230.62530827522278,5494,6859,98.16357421875,0.0815110543156688
232.77136969566345,5544,6916,98.14464569091797,0.0835436428960558
234.85747623443604,5585,6975,98.371826171875,0.07435239074679091
237.00924015045166,5643,7045,98.35289764404297,0.07723167102938375
239.15669703483582,5701,7111,98.35289764404297,0.07071045709919185
241.29269552230835,5751,7172,98.46649169921875,0.07157775449937873
243.41032004356384,5804,7234,98.4096908569336,0.06499773453739822
245.5230131149292,5849,7295,98.44755554199219,0.06682622300821332
247.65914011001587,5897,7355,98.4096908569336,0.06738260198283669
249.77670335769653,5953,7422,98.39076232910156,0.0696169882365677
251.86417818069458,5990,7478,98.42862701416016,0.0707055848548157
253.9684133529663,6036,7538,98.42862701416016,0.07171370215246377
256.13448905944824,6082,7599,98.46649169921875,0.0649447711669501
258.2665195465088,6133,7663,98.35289764404297,0.06704171350919097
260.4081611633301,6184,7726,98.58008575439453,0.05975553493319796
262.56887221336365,6230,7784,98.50435638427734,0.06146289396710872
264.6802122592926,6271,7841,98.61795043945312,0.056574339974694174
266.7877974510193,6321,7902,98.59901428222656,0.0592599239000054
268.8945252895355,6370,7965,98.58008575439453,0.05539963497638855
271.0261538028717,6420,8031,98.56114959716797,0.05636389231480678
273.1593804359436,6471,8094,98.59901428222656,0.053019130283515986
275.2974305152893,6519,8153,98.63687896728516,0.05404314508348483
277.4308512210846,6579,8224,98.59901428222656,0.052250557338864044
279.5811529159546,6629,8282,98.58008575439453,0.05432054695057224
281.711886882782,6670,8340,98.58008575439453,0.0522254837452251
283.8378658294678,6723,8408,98.59901428222656,0.0531372582540445
285.9403164386749,6774,8474,98.54222106933594,0.051185136643830446
288.0828523635864,6820,8535,98.65581512451172,0.04998350493198727
290.2006952762604,6873,8602,98.69367980957031,0.0481322175142204
292.32474184036255,6931,8666,98.67474365234375,0.048422307619914576
294.46706676483154,6982,8729,98.65581512451172,0.046501612295676974
296.5886974334717,7036,8798,98.63687896728516,0.04775194692612682
298.752699136734,7088,8860,98.69367980957031,0.045397490087723084
