WallTime,ModelIterations,CommunicationRound,TestAccuracy,Loss
2.384185791015625e-06,0,0,0.49751242995262146,4.122026737649643
3.9104485511779785,0,0,0.49751242995262146,4.122026737649643
5.939632892608643,0,0,0.49751242995262146,4.122026737649643
7.976944446563721,1,1,7.462686538696289,4.075723069224192
9.990602016448975,1,2,7.462686538696289,4.075723069224192
12.004138708114624,1,4,7.462686538696289,4.075723069224192
14.01682448387146,4,8,17.91044807434082,3.4232428251807367
16.0289626121521,4,11,17.91044807434082,3.4232428251807367
18.04533553123474,5,16,20.895523071289062,3.3575582172147076
20.060712575912476,5,21,20.895523071289062,3.3575582172147076
22.074605464935303,7,30,24.875621795654297,3.4946033990205225
24.08394193649292,9,42,38.30845642089844,2.8343496749650186
26.095948934555054,12,55,52.7363166809082,2.164389842778296
28.119965076446533,14,67,53.233829498291016,1.9923822203678871
30.152928590774536,19,81,47.761192321777344,2.0496111058477147
32.176655292510986,21,94,52.7363166809082,1.869950631364661
34.200565338134766,25,108,55.223880767822266,1.7988926522174284
36.2249698638916,30,124,60.199005126953125,1.6657076403869324
38.262155532836914,31,134,55.223880767822266,1.7098322626370102
40.27620220184326,33,148,52.238807678222656,1.803903760008551
42.29132342338562,33,162,52.238807678222656,1.803903760008551
44.314714431762695,36,176,54.22885513305664,1.8452298747959421
46.34603786468506,39,189,53.73134231567383,1.9662886282697838
48.3584988117218,39,200,53.73134231567383,1.9662886282697838
50.37194323539734,44,219,52.7363166809082,2.1226282072304494
52.39948058128357,46,233,55.223880767822266,1.6817373399117692
54.41027641296387,50,249,56.7164192199707,1.6759167571565998
56.43891525268555,53,264,64.17910766601562,1.4025350162638954
58.458221673965454,56,278,61.69154357910156,1.5736815798935013
60.473416328430176,56,291,61.69154357910156,1.5736815798935013
62.49594688415527,57,305,61.69154357910156,1.6031704423439443
64.50777697563171,58,320,66.66666412353516,1.3107343455452232
66.52375984191895,59,334,63.184078216552734,1.460408300902713
68.55824899673462,64,350,60.199005126953125,1.541793064098453
70.58522534370422,65,360,64.67662048339844,1.4767188836092973
72.59594798088074,66,374,63.184078216552734,1.6137831199228467
74.61199402809143,69,392,63.68159103393555,1.4501101745301812
76.64331340789795,71,403,61.69154357910156,1.5587941639458955
78.65628051757812,72,418,59.70149230957031,1.6908946630373523
80.67820572853088,76,432,66.16915130615234,1.458935789800995
82.70821070671082,78,440,68.6567153930664,1.289942992860405
84.72133493423462,80,456,69.15422821044922,1.1915849903922768
86.74380612373352,84,470,66.66666412353516,1.236317041501477
88.77639079093933,86,481,66.16915130615234,1.252322752084305
90.79348397254944,89,496,66.16915130615234,1.4602119863329834
92.81050777435303,93,510,71.64179229736328,1.21465624149759
94.82199764251709,97,524,67.66168975830078,1.238409355505189
96.8341805934906,98,537,70.64676666259766,1.1756912914674673
98.84546113014221,103,552,68.6567153930664,1.3476207220732277
100.85692143440247,105,565,69.15422821044922,1.3668413304570894
102.87195587158203,107,577,70.64676666259766,1.4405143320263916
104.88399910926819,110,593,71.14427947998047,1.2223346007997125
106.9021303653717,111,603,71.14427947998047,1.3070218290262554
108.91420245170593,113,614,67.16417694091797,1.4145158985954018
110.9253032207489,119,632,62.189056396484375,1.5174800436295086
112.95697236061096,120,645,70.14925384521484,1.1594440972627098
114.97969150543213,123,660,70.14925384521484,1.3006913673818408
116.99229669570923,127,677,68.6567153930664,1.2343334748377255
119.01559019088745,127,685,68.6567153930664,1.2343334748377255
121.03187465667725,129,699,73.13433074951172,1.1805443075758901
123.06557440757751,138,718,71.64179229736328,1.1966455943548857
125.10222959518433,143,731,69.15422821044922,1.3973398540743547
127.1204776763916,146,743,67.66168975830078,1.3757442265600708
129.1342170238495,147,756,67.16417694091797,1.4453410058472287
131.15797901153564,156,774,65.17412567138672,1.4821550359773399
133.18274354934692,160,788,69.65174102783203,1.154078203647291
135.20611119270325,162,797,70.64676666259766,1.295585746195779
137.2197813987732,167,815,72.6368179321289,1.1644465887724464
139.24558687210083,169,828,66.66666412353516,1.307418899156561
141.25667572021484,170,840,68.1592025756836,1.4031164444501127
143.26885890960693,171,852,65.17412567138672,1.4616991109515898
145.28592228889465,173,861,65.67163848876953,1.4056845897465795
147.29931926727295,175,878,65.67163848876953,1.5298931824034125
149.31684255599976,176,888,63.68159103393555,1.5772722538430892
151.33061528205872,180,903,63.68159103393555,1.581468648578397
153.34395051002502,182,917,66.66666412353516,1.5527360451162158
155.35939240455627,185,929,68.6567153930664,1.300629231467176
157.37194728851318,186,944,69.15422821044922,1.280838354309993
159.38951516151428,189,958,68.1592025756836,1.443929340115827
161.403950214386,192,969,67.16417694091797,1.3441035332371347
163.41761422157288,194,986,68.6567153930664,1.4322956901284594
165.44282293319702,201,1002,65.67163848876953,1.489796197236474
167.47531032562256,203,1013,68.6567153930664,1.5403443521528102
169.4947292804718,209,1029,67.16417694091797,1.46711780301374
171.51034498214722,212,1043,69.15422821044922,1.4573807977325288
173.52168774604797,215,1058,71.64179229736328,1.2314226141023399
175.56462597846985,217,1069,71.14427947998047,1.293489750344955
177.57593250274658,219,1084,68.1592025756836,1.4259660635421525
179.61120581626892,221,1096,68.1592025756836,1.4564761261441814
181.63047647476196,223,1114,70.64676666259766,1.3117309873969993
183.64664030075073,224,1126,70.14925384521484,1.4342645294037624
185.66212368011475,231,1144,70.14925384521484,1.3509344224313005
187.70394706726074,234,1157,73.63184356689453,1.2159661060542017
189.73878502845764,235,1168,72.1393051147461,1.3051947598433613
191.75006556510925,239,1183,71.14427947998047,1.3195161582225592
193.760822057724,243,1197,70.14925384521484,1.36216906647184
195.77197909355164,246,1210,76.61691284179688,1.1750077584489662
197.79387760162354,250,1223,69.15422821044922,1.281114644672147
199.80749011039734,253,1238,70.64676666259766,1.3851223466408193
201.81828117370605,255,1252,75.12437438964844,1.2387578404364894
203.83594369888306,259,1265,75.62188720703125,1.1961007189394823
205.85407876968384,259,1277,75.62188720703125,1.1961007189394823
207.8685863018036,261,1291,75.12437438964844,1.3125394754741915
209.8996777534485,264,1302,72.1393051147461,1.4063467908261427
211.9141390323639,266,1316,78.10945129394531,1.1957816508278918
213.92558598518372,268,1332,73.63184356689453,1.161836500784651
215.95413970947266,272,1348,73.13433074951172,1.1213215690347094
217.97960782051086,275,1358,71.64179229736328,1.387829567069438
219.99594736099243,279,1374,77.6119384765625,1.1309356309881258
222.01194524765015,280,1384,74.12935638427734,1.1565502413469761
224.04349398612976,283,1398,75.12437438964844,1.1795047741031173
226.05508041381836,285,1412,72.1393051147461,1.3068260838143269
228.06738114356995,287,1429,71.14427947998047,1.4369302246701066
230.0974748134613,292,1443,74.62686920166016,1.4908366037245413
232.11326694488525,297,1461,73.13433074951172,1.3929976278276586
234.14394879341125,300,1472,66.66666412353516,1.5148799383818214
236.16990876197815,303,1485,75.62188720703125,1.1832008172030473
238.18561840057373,305,1501,73.13433074951172,1.3362908814083878
240.20945763587952,313,1518,70.64676666259766,1.2771839502438977
