idx,CommunicationRound,TimeCost
9,0,6.901628017425537
9,1,0.27851271629333496
9,2,0.27192211151123047
9,3,0.2767641544342041
9,4,Error,0.3390663049516694
9,5,Error,0.2676778484860622
9,6,Error,0.21581126448169
9,7,0.2645695209503174
9,8,Error,0.5085064797561231
9,9,Error,0.06647515355416739
9,10,Error,0.07645968405580705
9,11,0.2727694511413574
9,12,0.2683122158050537
9,13,Error,0.01853002873525891
9,14,0.27461814880371094
9,15,Error,0.010403119992460054
9,16,Error,0.11299928176170311
9,17,Error,0.36658690466162885
9,18,0.26665210723876953
9,19,Error,0.1341192917338404
9,20,0.27637648582458496
9,21,0.2795419692993164
9,22,Error,0.09537161548013603
9,23,Error,0.3590240364552698
9,24,0.277294397354126
9,25,0.26696348190307617
9,26,0.27854061126708984
9,27,0.27117490768432617
9,28,Error,0.6395334967874848
9,29,0.26366257667541504
9,30,Error,0.27001820608823723
9,31,0.2689688205718994
9,32,Error,0.06887558184719281
9,33,Error,0.03675372205588436
9,34,Error,0.4075762761258852
9,35,Error,0.5403572831234895
9,36,Error,0.25819322317428134
9,37,Error,0.31643069147382075
9,38,Error,0.18188333944181584
9,39,Error,0.7277748142975856
9,40,Error,0.00273974330449719
9,41,0.26881909370422363
9,42,0.2726719379425049
