idx,CommunicationRound,TimeCost
4,0,Error,17.60665679504757
4,1,1.6642909049987793
4,2,Error,3.3895552568478684
4,3,1.6819043159484863
4,4,Error,3.5392100874443604
4,5,Error,1.147032546521242
4,6,Error,4.0529430830097795
4,7,1.6911935806274414
4,8,Error,2.4952286070297496
4,9,Error,2.899179418221458
4,10,Error,4.7227086082296355
4,11,Error,4.396244621327776
4,12,Error,4.802215269147116
4,13,Error,0.8686633773872892
4,14,Error,3.673481172930781
4,15,Error,4.532585560944947
4,16,Error,0.24013977639596304
4,17,Error,2.845529661107086
4,18,Error,0.9131055729606841
4,19,Error,1.2332315512584051
4,20,Error,1.6252423187915404
4,21,Error,2.267686219182262
4,22,1.6938984394073486
4,23,Error,0.5898362709309308
4,24,Error,4.285870465324078
4,25,Error,1.4770720632912786
4,26,Error,4.8266235843015535
4,27,Error,2.5509673122596914
4,28,Error,0.31804692722210803
4,29,Error,2.5678564202591447
4,30,Error,3.6749332608194365
4,31,Error,0.04592803529279669
4,32,Error,1.946286398425385
4,33,Error,3.611510297896384
4,34,Error,4.242166103114852
4,35,Error,4.5914307422529195
4,36,Error,1.8400856818867002
4,37,Error,0.7552868822239267
4,38,1.7188591957092285
