idx,CommunicationRound,TimeCost
9,0,20.784778118133545
9,1,4.112463474273682
9,2,3.486067771911621
9,3,4.919964551925659
9,4,Error,3.6854072944848246
9,5,Error,1.4609813814379045
9,6,Error,1.2082287220679127
9,7,3.268749952316284
9,8,Error,6.08284050717274
9,9,Error,0.46219207606610296
9,10,Error,0.5378635520924728
9,11,1.8502862453460693
9,12,3.9512622356414795
9,13,Error,0.27734885529369785
9,14,5.535153388977051
9,15,Error,0.23471793628897758
9,16,Error,3.153047345606202
9,17,2.661604166030884
9,18,Error,6.224033588527224
9,19,Error,1.598956414344147
9,20,6.735424757003784
9,21,4.792101144790649
9,22,Error,4.822009976333386
9,23,9.712522506713867
9,24,8.783887147903442
9,25,Error,27.69339381763102
9,26,4.624420881271362
9,27,4.1576666831970215
9,28,9.761021137237549
9,29,Error,20.08291354003766
9,30,Error,12.178553918018785
9,31,15.878150701522827
9,32,Error,3.983180716193829
9,33,Error,1.0296695394668838
9,34,Error,7.182852182765607
9,35,Error,16.52458829882565
9,36,Error,5.217550229677924
9,37,Error,5.7600415856522815
9,38,Error,12.43604523588975
9,39,4.378047704696655
9,40,5.3095316886901855
9,41,Error,3.530470731503391
9,42,Error,47.43332990665631
9,43,Error,17.23296753321116
9,44,20.51358985900879
9,45,Error,39.45382431180919
