idx,CommunicationRound,TimeCost
4,0,Error,40.1894992165583
4,1,4.453329563140869
4,2,3.6687228679656982
4,3,3.778022050857544
4,4,Error,6.3672651932199775
4,5,Error,3.75668421855538
4,6,6.418683052062988
4,7,4.042474746704102
4,8,3.7842049598693848
4,9,Error,7.050035866617455
4,10,Error,7.918166864541482
4,11,4.364541530609131
4,12,3.9242806434631348
4,13,4.677927732467651
4,14,4.990160226821899
4,15,Error,2.77445616446243
4,16,4.542724132537842
4,17,4.772218704223633
4,18,5.595797061920166
4,19,Error,2.0952015079098794
4,20,6.451628923416138
4,21,5.4538586139678955
4,22,5.533869743347168
4,23,4.174149513244629
4,24,Error,3.761446075899429
4,25,4.6272687911987305
4,26,5.72794246673584
4,27,Error,17.34315743870467
4,28,5.773033618927002
4,29,6.373668670654297
4,30,6.174295425415039
4,31,4.847070693969727
4,32,Error,14.858813447084657
4,33,Error,8.777612801157755
4,34,4.726774454116821
4,35,Error,11.60928688027119
4,36,6.435500383377075
4,37,4.788722515106201
4,38,Error,1.2496544265286824
4,39,4.795856952667236
4,40,4.99730920791626
4,41,6.354073524475098
4,42,6.001914024353027
4,43,3.9104692935943604
4,44,3.8708057403564453
4,45,Error,9.071550145876493
4,46,6.4087865352630615
4,47,Error,3.5198331096785362
4,48,3.8586697578430176
4,49,4.521644830703735
4,50,4.650109052658081
4,51,4.928159475326538
4,52,Error,2.8105659885529626
4,53,6.312350749969482
4,54,4.571159839630127
4,55,5.664667844772339
4,56,Error,1.9349217327299324
4,57,4.783590078353882
4,58,4.0241804122924805
4,59,4.1368043422698975
4,60,Error,9.18345611860401
4,61,3.98214054107666
4,62,5.448657035827637
4,63,6.340608358383179
4,64,6.285595655441284
4,65,4.833463191986084
4,66,Error,9.955922165751144
4,67,Error,8.947363830637878
4,68,5.525476694107056
4,69,4.304443597793579
4,70,4.847660064697266
4,71,Error,4.678815645793035
4,72,Error,17.061122152315324
4,73,5.495665788650513
4,74,5.266254663467407
4,75,3.974910020828247
