idx,CommunicationRound,TimeCost
6,0,6.495867013931274
6,1,Error,1.0171854266267473
6,2,Error,0.14258821170770064
6,3,Error,1.0492872492722383
6,4,Error,0.39847318047156804
6,5,0.41707277297973633
6,6,0.4133131504058838
6,7,0.4219355583190918
6,8,Error,0.9570823997748283
6,9,0.49419426918029785
6,10,Error,1.1530334322999942
6,11,Error,0.1116657388979598
6,12,Error,1.2839654175873494
6,13,0.40697288513183594
6,14,0.422590970993042
6,15,Error,0.06532058054746573
6,16,Error,1.1966619786561685
6,17,0.4118664264678955
6,18,Error,0.7252807404486756
6,19,Error,0.4535200898947009
6,20,0.4335439205169678
6,21,Error,0.8151484730210493
6,22,Error,0.8746599616686213
6,23,Error,0.46466308030369674
6,24,Error,0.34545902170461473
6,25,0.44635605812072754
6,26,Error,0.3804604650811962
6,27,0.4423093795776367
6,28,Error,1.281894091519156
6,29,Error,0.7188609946809981
6,30,Error,0.9532102948710017
6,31,Error,0.5182963886510591
6,32,Error,0.1987145544747151
6,33,Error,1.0869022965999966
6,34,0.4361693859100342
6,35,0.4353628158569336
6,36,0.41598963737487793
6,37,0.43076276779174805
6,38,Error,0.5484526846364947
6,39,Error,0.7852285234875241
