idx,CommunicationRound,TimeCost
1,0,8.408693313598633
1,1,Error,0.04038340169073232
1,2,1.4208157062530518
1,3,1.103200912475586
1,4,1.4887502193450928
1,5,Error,1.320414918139173
1,6,0.9098560810089111
1,7,0.9766356945037842
1,8,1.4350976943969727
1,9,1.339301347732544
1,10,Error,0.26438196005698794
1,11,1.081498384475708
1,12,0.6948211193084717
1,13,Error,1.3477194081007435
1,14,1.2581324577331543
1,15,Error,2.365307493466583
1,16,Error,2.4432382067446037
1,17,1.1888649463653564
1,18,1.3782072067260742
1,19,Error,3.1221113908165705
1,20,1.5177843570709229
1,21,0.9811933040618896
1,22,1.3534224033355713
1,23,Error,0.9498675265410615
1,24,1.255136251449585
1,25,1.164992094039917
1,26,0.7879941463470459
1,27,1.0639162063598633
1,28,1.4743542671203613
1,29,1.4587445259094238
1,30,1.1176414489746094
1,31,1.227315902709961
1,32,1.305107831954956
1,33,1.2622368335723877
1,34,1.1620490550994873
1,35,1.2502779960632324
1,36,1.2108197212219238
1,37,1.0385797023773193
1,38,1.1856262683868408
1,39,Error,3.2932337040267092
1,40,Error,1.2312043228303995
1,41,1.2931780815124512
1,42,Error,0.15979721612758305
1,43,1.3596556186676025
1,44,1.4965033531188965
1,45,0.6541094779968262
1,46,1.1609971523284912
1,47,0.7584822177886963
1,48,1.1996798515319824
1,49,1.4242949485778809
1,50,1.4295244216918945
1,51,1.0694890022277832
1,52,1.425147294998169
1,53,1.285642147064209
1,54,1.5462861061096191
1,55,1.1582202911376953
1,56,1.1184992790222168
1,57,Error,3.5056093969138087
1,58,0.8372173309326172
1,59,1.3173155784606934
1,60,1.4510891437530518
1,61,1.374044418334961
1,62,1.277979850769043
1,63,0.8998918533325195
1,64,1.3391120433807373
1,65,1.263662576675415
1,66,1.257913589477539
1,67,1.4052348136901855
1,68,1.1094567775726318
1,69,1.2216732501983643
1,70,1.2847623825073242
1,71,Error,1.133363584254984
1,72,1.227757215499878
1,73,0.9159932136535645
1,74,Error,1.526991636876121
1,75,1.241236925125122
1,76,0.9834692478179932
1,77,0.7964582443237305
1,78,Error,0.8544344934181384
1,79,1.3430850505828857
1,80,1.4157488346099854
1,81,Error,1.9345193419766584
1,82,Error,1.8080435033223916
1,83,0.9607024192810059
1,84,0.8363032341003418
1,85,0.965580940246582
1,86,0.8117959499359131
1,87,1.1422760486602783
1,88,1.211787462234497
1,89,Error,1.2898523965546247
1,90,1.0525546073913574
1,91,1.3201537132263184
1,92,1.171391248703003
1,93,0.7207963466644287
1,94,1.2467477321624756
1,95,1.5794694423675537
1,96,1.4203758239746094
1,97,1.483710527420044
1,98,1.292618989944458
1,99,1.4567005634307861
1,100,Error,0.7690745878501275
1,101,1.2678489685058594
1,102,0.957373857498169
1,103,1.1291511058807373
1,104,1.2388854026794434
1,105,1.362290859222412
1,106,Error,1.8269482491006845
1,107,1.3191521167755127
1,108,1.0233564376831055
1,109,0.9453482627868652
1,110,1.0064458847045898
1,111,1.4913475513458252
1,112,Error,0.7525097584595705
1,113,0.8131651878356934
1,114,Error,3.1259048758256633
1,115,1.289947748184204
1,116,1.357499122619629
1,117,Error,3.298612817473735
1,118,1.587101936340332
1,119,Error,1.4845073856586168
1,120,Error,0.5575363137684098
1,121,1.3447909355163574
1,122,Error,1.2150061722156749
1,123,1.1805250644683838
1,124,1.1645703315734863
1,125,1.435903549194336
1,126,1.1836192607879639
1,127,1.4801785945892334
1,128,1.448371171951294
1,129,1.027989149093628
1,130,1.2290916442871094
1,131,1.3125379085540771
1,132,1.6534700393676758
1,133,1.612656831741333
1,134,1.369936227798462
1,135,1.1195814609527588
1,136,1.2978525161743164
1,137,Error,0.24479379911664062
1,138,Error,0.23023409209721235
1,139,0.9543781280517578
1,140,1.3058795928955078
1,141,1.526259422302246
1,142,1.6432206630706787
1,143,Error,0.8999111922409687
1,144,1.120561122894287
1,145,1.1101775169372559
1,146,1.0765328407287598
1,147,1.058748722076416
1,148,1.3921000957489014
1,149,1.1627955436706543
1,150,1.0890543460845947
1,151,0.9491171836853027
1,152,1.2588059902191162
1,153,Error,0.9913323250765953
1,154,1.2321887016296387
1,155,1.069753885269165
1,156,1.1591203212738037
1,157,1.2102158069610596
1,158,Error,2.6590968938663484
1,159,1.5198841094970703
1,160,1.3423190116882324
1,161,Error,2.0741860021669893
1,162,1.4349591732025146
1,163,1.253570556640625
1,164,0.9566178321838379
1,165,Error,2.073758004601959
1,166,1.0636498928070068
1,167,1.3426952362060547
1,168,1.193185567855835
1,169,1.2214465141296387
1,170,Error,1.4831599271177807
1,171,1.1313831806182861
1,172,1.239382266998291
1,173,1.5847437381744385
1,174,0.9274306297302246
1,175,1.3818204402923584
1,176,Error,2.7711142345065687
1,177,0.8194046020507812
1,178,1.1484217643737793
1,179,Error,2.023444979505417
1,180,0.9832553863525391
1,181,Error,2.04518921334867
1,182,1.0098590850830078
1,183,1.0085117816925049
1,184,1.4238853454589844
1,185,1.1689751148223877
1,186,1.3189520835876465
1,187,1.5287935733795166
