idx,CommunicationRound,TimeCost
9,0,29.00636053085327
9,1,17.0106463432312
9,2,14.910017490386963
9,3,10.699872016906738
9,4,Error,6.806591430459064
9,5,Error,5.2293560111900135
9,6,Error,3.3471129933159514
9,7,6.21092414855957
9,8,Error,20.81111500164413
9,9,Error,3.8161254687754043
9,10,Error,2.297942625684129
9,11,5.229808568954468
9,12,5.264207601547241
9,13,Error,0.36491093525284046
9,14,5.529358625411987
9,15,Error,0.20737655687697001
9,16,Error,2.232682470756195
9,17,Error,7.218308355749391
9,18,10.599385261535645
9,19,Error,6.170243817674921
9,20,11.074268579483032
9,21,11.144209861755371
9,22,Error,4.436154438492408
9,23,Error,14.63745709994497
9,24,5.616246938705444
9,25,5.052176237106323
9,26,5.481176137924194
9,27,11.057939767837524
9,28,Error,31.430648813193166
9,29,10.964087963104248
9,30,Error,7.945913733504328
9,31,10.336679935455322
9,32,Error,1.9547337583288162
9,33,Error,0.6763909970727594
9,34,Error,7.805756683767672
9,35,Error,14.549302879938567
9,36,Error,15.818973679105058
9,37,Error,12.74594624352026
9,38,Error,3.4947837695931994
9,39,Error,25.6631115973176
9,40,Error,0.16496573345838414
9,41,15.863326787948608
