idx,CommunicationRound,TimeCost
8,0,Error,10.580628355212191
8,1,Error,0.24079298295893617
8,2,Error,0.06271220519281728
8,3,Error,0.06564048957663667
8,4,Error,0.07270897129619983
8,5,Error,0.01783660488953659
8,6,Error,0.09055557703087665
8,7,Error,0.10477426467065398
8,8,Error,0.17343860518364743
8,9,Error,0.07091695597353773
8,10,Error,0.33309997565918553
8,11,Error,0.16830449796466299
8,12,Error,0.10988128981656883
8,13,Error,0.0267985741135298
8,14,Error,0.11753333776926898
8,15,Error,0.11854834587969003
8,16,Error,0.21972934678148012
8,17,Error,0.07432430312134357
8,18,Error,0.030345020305647816
8,19,Error,0.032152353480366755
8,20,Error,0.19622226742105497
8,21,Error,0.17090678326195485
8,22,Error,0.1501211782165415
8,23,Error,0.016128288534357285
8,24,Error,0.0038349270479712877
8,25,Error,0.023479261744377155
8,26,Error,0.12513726108591394
8,27,Error,0.19128627952636149
8,28,Error,0.19624436163495687
8,29,Error,0.09093317894847702
8,30,0.0787808895111084
8,31,Error,0.14520067952208351
8,32,Error,0.13085917438398384
8,33,Error,0.1721183979524311
8,34,Error,0.11772817471698732
8,35,Error,0.09298392383340856
8,36,Error,0.29913434480693063
8,37,0.10212349891662598
8,38,Error,0.08368842362447096
8,39,Error,0.16694069520029592
8,40,Error,0.049637674487650774
8,41,0.11428189277648926
8,42,Error,0.08854564659630303
8,43,Error,0.09606478676668136
8,44,Error,0.23907660288633298
8,45,Error,0.2664973129490747
8,46,Error,0.01213403667057953
8,47,Error,0.1044330947516654
8,48,Error,0.09930742821824481
8,49,0.10061955451965332
8,50,0.11884045600891113
8,51,Error,0.17832443564084394
8,52,Error,0.21783314595007647
8,53,Error,0.16524922276042087
8,54,Error,0.1782414880661874
8,55,Error,0.03905270212021807
8,56,Error,0.13856930562002467
8,57,Error,0.14384329996721826
8,58,Error,0.32982865408357037
8,59,Error,0.15648680835903145
8,60,Error,0.22424877020496406
8,61,Error,0.3231830996133277
8,62,Error,0.022915361402375538
8,63,Error,0.1469108102061105
8,64,Error,0.15954998181002125
8,65,Error,0.08349714290599075
8,66,Error,0.1542428802418078
8,67,Error,0.04271745398477751
8,68,Error,0.023335077313024397
8,69,Error,0.01764605305402682
8,70,0.11558771133422852
8,71,Error,0.31134509600927035
8,72,Error,0.2997391441153879
8,73,0.1508164405822754
8,74,Error,0.04466801501914935
8,75,Error,0.3012652804657346
8,76,0.16089987754821777
8,77,Error,0.09242118433812276
8,78,0.09685230255126953
8,79,Error,0.14620598376190913
8,80,Error,0.01644480658984305
8,81,Error,0.17719026980982525
8,82,0.08861827850341797
8,83,Error,0.27417357414342436
8,84,Error,0.042496346693505015
8,85,Error,0.0613359732309264
8,86,Error,0.23596696032691414
8,87,Error,0.1809053159513313
8,88,Error,0.08857007510886954
8,89,Error,0.019663522384758336
8,90,Error,0.059804040937916005
8,91,Error,0.039774126751280905
8,92,Error,0.019487071524912258
8,93,Error,0.04949175898473234
8,94,0.08916592597961426
8,95,Error,0.27251994881512953
8,96,Error,0.09093490379989286
8,97,Error,0.27760464675132485
8,98,Error,0.46678706756911875
8,99,Error,0.4409960849764293
8,100,Error,0.23604926212011942
8,101,Error,0.1675100901148898
8,102,Error,0.16450718366650852
8,103,Error,0.08658369506997986
8,104,Error,0.12427443740624343
8,105,0.15691471099853516
8,106,Error,0.04678414731112343
8,107,Error,0.46422792451156375
8,108,Error,0.36615092118334186
8,109,Error,0.2139131088504099
8,110,Error,0.09354397595666311
8,111,Error,0.19151897011648386
8,112,0.07797431945800781
8,113,Error,0.12671591793296863
8,114,Error,0.034756453719513976
8,115,Error,0.22724853414438403
8,116,Error,0.09217068797908046
8,117,Error,0.2795567572537211
8,118,0.08472442626953125
8,119,Error,0.13640894843030818
8,120,Error,0.05139731140251514
8,121,Error,0.011440546377724075
8,122,Error,0.15582017030703432
8,123,Error,0.08785321496520573
8,124,Error,0.2048029047502048
8,125,Error,0.16560900625519223
8,126,Error,0.12180334839317326
8,127,0.1419823169708252
8,128,Error,0.13731754159866266
8,129,0.17957496643066406
8,130,Error,0.4680361634413084
8,131,0.1845839023590088
8,132,Error,0.04231696771148195
8,133,Error,0.288274093498006
8,134,Error,0.266691465595844
8,135,0.16902637481689453
8,136,Error,0.42368334324499696
8,137,Error,0.22138657457173763
8,138,Error,0.0726378387075991
8,139,Error,0.04946177705779545
8,140,Error,0.16573915224878752
8,141,Error,0.08983050569095893
8,142,Error,0.0019152254968334151
8,143,Error,0.20366731848332076
8,144,Error,0.17502447727148032
8,145,Error,0.13024527371478126
8,146,Error,0.14437796396106695
8,147,Error,0.19823876683166122
8,148,Error,0.1262007003881094
8,149,Error,0.1396200121096257
8,150,Error,0.2427516136899491
8,151,Error,0.02730572832912233
8,152,Error,0.19920688917709656
8,153,Error,0.20923781448122664
8,154,Error,0.4810093150909044
8,155,Error,0.2722374483622484
8,156,Error,0.22991896301018494
8,157,Error,0.03416958426729789
8,158,Error,0.20540944141621056
8,159,Error,0.031542418621489356
8,160,0.08728766441345215
8,161,Error,0.21111028218640765
8,162,Error,0.13604760939226043
8,163,Error,0.003535210868868163
8,164,Error,0.20447459478275778
8,165,Error,0.14051436935381273
8,166,Error,0.3173476745424598
8,167,0.15948987007141113
8,168,Error,0.11663329743826013
8,169,Error,0.33925361600890025
8,170,Error,0.08646069621877157
8,171,0.15055036544799805
8,172,Error,0.17426338142794914
8,173,Error,0.14552598509564696
8,174,Error,0.1528283189587989
8,175,Error,0.26625734132076384
8,176,Error,0.0813398854719775
8,177,Error,0.28287288235901403
8,178,Error,0.19154854099868837
