idx,CommunicationRound,TimeCost
8,0,16.758000373840332
8,1,Error,3.928518162439307
8,2,Error,1.2916145235188556
8,3,Error,2.7212972397628805
8,4,Error,2.744637705342612
8,5,Error,1.695819818137678
8,6,Error,4.495682795091307
8,7,2.831432819366455
8,8,Error,0.8625753998935579
8,9,3.6338882446289062
8,10,Error,3.136570423942562
8,11,4.195692777633667
8,12,5.054546117782593
8,13,Error,6.113908731255574
8,14,Error,1.2865022820242624
8,15,Error,11.054045970479514
8,16,Error,4.833043129403031
8,17,Error,6.021536105553451
8,18,3.682055950164795
8,19,3.737912654876709
8,20,Error,3.041608157564412
8,21,2.776825189590454
8,22,Error,2.844111818180222
8,23,3.3571865558624268
8,24,Error,5.768866769049616
8,25,Error,7.937075842931892
8,26,Error,0.7481007412644247
8,27,Error,0.14102742931207726
8,28,Error,1.2841690866049384
8,29,Error,4.290621002784126
8,30,Error,8.039046358650754
8,31,Error,6.1919835152764895
8,32,Error,3.3492420331630717
8,33,4.974105358123779
8,34,Error,9.213102899034642
8,35,Error,7.20056268750776
8,36,2.92962646484375
8,37,Error,2.201918053279466
8,38,3.701540470123291
8,39,Error,5.563452939598859
8,40,4.485291957855225
8,41,3.7239439487457275
8,42,Error,4.267801902047864
8,43,Error,4.181264164717432
8,44,3.6571707725524902
8,45,Error,10.098795651011532
8,46,2.8338418006896973
8,47,Error,3.1642863956841336
8,48,Error,5.440724382290052
8,49,5.0419251918792725
8,50,Error,6.6296505126442495
8,51,Error,3.583506133448448
8,52,Error,6.402527708562618
8,53,Error,2.376521249633969
8,54,Error,15.480319300131745
8,55,Error,7.271663236627953
8,56,Error,13.623690010825014
8,57,Error,6.131547029218943
8,58,Error,7.895764239511538
8,59,Error,1.5082333495845124
8,60,Error,3.9492191744517844
8,61,Error,5.8985229185605474
8,62,Error,8.773450286774825
8,63,Error,4.57664973367755
8,64,Error,4.549637794787395
8,65,Error,10.61281990132678
8,66,Error,0.8549086560553157
8,67,Error,4.419533304637007
8,68,Error,5.90846089445662
8,69,Error,2.5592262008986912
8,70,3.2946345806121826
8,71,Error,6.010982215473747
8,72,Error,5.065999130361056
8,73,3.6682286262512207
8,74,Error,10.38400808759055
8,75,3.767127752304077
8,76,4.022620916366577
8,77,Error,6.873624283414247
8,78,3.5525786876678467
