idx,CommunicationRound,TimeCost
1,0,23.202062845230103
1,1,Error,0.25368361335281614
1,2,Error,12.724800271288329
1,3,2.1075916290283203
1,4,4.856486558914185
1,5,Error,3.30589288038713
1,6,Error,23.35473895147568
1,7,5.863906145095825
1,8,Error,23.873706149543974
1,9,Error,39.359730491202
1,10,Error,39.560092999237796
1,11,Error,16.871429257486977
1,12,Error,8.976819270817417
1,13,12.148470640182495
1,14,Error,24.797582759374844
1,15,Error,16.065192064378206
1,16,Error,1.6394121285207734
1,17,19.66457509994507
1,18,17.77841854095459
1,19,Error,12.718710068791417
1,20,Error,11.890446918696133
1,21,Error,35.28672159778065
1,22,Error,14.859040617624505
1,23,Error,7.894079027385624
