idx,CommunicationRound,TimeCost
1,0,22.420878887176514
1,1,10.618231058120728
1,2,10.484980583190918
1,3,10.483319282531738
1,4,10.64315128326416
1,5,10.565504789352417
1,6,10.536591053009033
1,7,10.518816947937012
1,8,10.546325445175171
1,9,10.523028373718262
1,10,10.55127239227295
1,11,Error,1.950668341427028
1,12,10.722440719604492
1,13,10.608407974243164
1,14,10.763866186141968
1,15,10.579414367675781
1,16,10.52777099609375
1,17,10.582624912261963
1,18,10.52233076095581
1,19,10.648142576217651
1,20,10.613879680633545
1,21,10.594613075256348
1,22,10.535667181015015
1,23,10.69505763053894
1,24,10.582331657409668
1,25,10.53020167350769
1,26,10.632116317749023
