idx,CommunicationRound,TimeCost
9,0,6.972935914993286
9,1,0.272200345993042
9,2,0.26786136627197266
9,3,0.28081798553466797
9,4,0.2733941078186035
9,5,0.2712991237640381
9,6,0.33488035202026367
9,7,0.27428460121154785
9,8,0.26741957664489746
9,9,0.27890872955322266
9,10,0.27971315383911133
9,11,0.2745029926300049
9,12,0.2676868438720703
9,13,Error,0.15134835548837883
9,14,0.28352832794189453
9,15,0.2734236717224121
9,16,Error,0.5685231043699398
9,17,0.2767205238342285
9,18,Error,0.5225188780526758
9,19,0.26900720596313477
9,20,0.2737269401550293
9,21,0.2745821475982666
9,22,0.27736759185791016
9,23,0.27388572692871094
9,24,0.2823200225830078
9,25,0.2779808044433594
9,26,0.2731471061706543
9,27,0.26912784576416016
9,28,0.2755427360534668
9,29,0.27981138229370117
9,30,0.276458740234375
9,31,0.2652556896209717
9,32,0.27626776695251465
9,33,0.2820103168487549
9,34,Error,0.5506637398468237
9,35,0.27838778495788574
9,36,Error,0.6125411597173258
9,37,0.26722240447998047
9,38,0.27518653869628906
9,39,Error,0.02216318031162057
9,40,0.2719721794128418
9,41,Error,0.5416135709451672
9,42,0.2722208499908447
9,43,0.27222728729248047
9,44,0.2723653316497803
9,45,0.2720801830291748
9,46,0.270676851272583
9,47,0.28063082695007324
9,48,0.27852797508239746
9,49,0.2721562385559082
9,50,0.2801949977874756
9,51,0.2810096740722656
9,52,0.2731034755706787
9,53,0.27297234535217285
9,54,0.26993846893310547
9,55,0.2842674255371094
9,56,0.2877206802368164
9,57,0.28014278411865234
9,58,0.2753615379333496
9,59,0.27272820472717285
9,60,0.2769203186035156
9,61,0.2855818271636963
9,62,0.28277134895324707
9,63,0.27066993713378906
9,64,Error,0.8251074517982877
9,65,0.26944708824157715
9,66,0.2784252166748047
9,67,0.27800416946411133
9,68,0.27634143829345703
9,69,0.27269434928894043
9,70,0.28100013732910156
9,71,0.28148579597473145
9,72,0.27623510360717773
9,73,Error,0.736609654103242
9,74,0.2749152183532715
9,75,0.2762453556060791
9,76,0.27452659606933594
9,77,0.2733621597290039
9,78,0.27383923530578613
9,79,0.2706170082092285
9,80,0.2746427059173584
9,81,Error,0.5743991572054622
9,82,0.2768411636352539
