idx,CommunicationRound,TimeCost
3,0,10.540715456008911
3,1,3.577648162841797
3,2,3.811195135116577
3,3,3.9342775344848633
3,4,4.206658124923706
3,5,4.221953392028809
3,6,3.753905773162842
3,7,3.795912742614746
3,8,3.913151979446411
3,9,3.0763425827026367
3,10,2.925586462020874
3,11,2.9929609298706055
3,12,2.6321945190429688
3,13,2.571099042892456
3,14,2.1735517978668213
3,15,2.229192018508911
3,16,2.6763710975646973
3,17,2.78912353515625
3,18,2.5968551635742188
3,19,Error,7.599828915177758
3,20,3.059161424636841
3,21,2.9284489154815674
3,22,2.972778797149658
3,23,3.0550034046173096
3,24,2.950939893722534
3,25,3.3671529293060303
3,26,3.0066142082214355
3,27,3.104755163192749
3,28,3.148453712463379
3,29,2.9575257301330566
3,30,2.873959541320801
3,31,3.4521424770355225
3,32,2.921879291534424
3,33,Error,1.2423321525090867
3,34,2.949314594268799
3,35,2.9143645763397217
3,36,3.465211868286133
3,37,3.0401101112365723
3,38,2.6268765926361084
3,39,2.5270190238952637
3,40,2.5985336303710938
3,41,2.210723400115967
3,42,2.0852749347686768
3,43,2.093994379043579
3,44,2.0930025577545166
3,45,1.7941079139709473
3,46,1.787740707397461
3,47,1.3403956890106201
3,48,1.329097032546997
3,49,1.305797815322876
3,50,1.335608959197998
3,51,1.7480709552764893
3,52,1.569075107574463
3,53,1.709838628768921
3,54,1.8123400211334229
3,55,1.8200218677520752
3,56,1.7890021800994873
3,57,1.7818858623504639
3,58,1.7999188899993896
3,59,2.242424964904785
3,60,2.2448906898498535
3,61,1.7356014251708984
3,62,1.7035515308380127
3,63,1.7372922897338867
3,64,0.4242420196533203
3,65,0.4636650085449219
3,66,0.44241857528686523
3,67,0.4641447067260742
3,68,0.4292473793029785
3,69,0.44492006301879883
3,70,0.45734405517578125
3,71,0.44899916648864746
3,72,0.4441101551055908
3,73,0.41219162940979004
3,74,0.3956155776977539
3,75,0.475632905960083
3,76,0.49333620071411133
3,77,0.43276071548461914
3,78,0.44436097145080566
3,79,0.43834805488586426
3,80,0.40997838973999023
3,81,0.4768486022949219
3,82,Error,1.12592591597964
3,83,0.4554107189178467
3,84,0.47127723693847656
3,85,0.43022990226745605
3,86,0.4785008430480957
3,87,0.47267603874206543
3,88,0.4825098514556885
3,89,0.462390661239624
3,90,0.47458887100219727
3,91,0.46904468536376953
3,92,0.4771285057067871
3,93,0.47599005699157715
3,94,0.46898460388183594
3,95,Error,0.19224121396853158
3,96,0.47597622871398926
3,97,0.4327247142791748
3,98,0.44122314453125
3,99,0.4617900848388672
3,100,0.46334147453308105
3,101,0.46332788467407227
3,102,0.42601633071899414
3,103,0.49442338943481445
3,104,Error,1.196257619809308
3,105,0.4688563346862793
3,106,0.4659545421600342
3,107,0.4776732921600342
3,108,0.40969157218933105
3,109,Error,1.2024979980779154
3,110,Error,0.8534469114122155
3,111,0.46315598487854004
3,112,0.48068666458129883
3,113,0.4358987808227539
3,114,0.43599414825439453
3,115,0.46344661712646484
3,116,0.5335159301757812
3,117,0.45482563972473145
3,118,0.46161675453186035
3,119,0.47783541679382324
3,120,0.458773136138916
3,121,0.4908318519592285
3,122,0.4641425609588623
3,123,0.4597327709197998
3,124,0.45700526237487793
3,125,0.49957776069641113
3,126,0.43663692474365234
3,127,0.4664602279663086
3,128,Error,0.7073125840211503
3,129,0.4177243709564209
3,130,0.37702131271362305
3,131,0.9153063297271729
3,132,0.9073259830474854
3,133,0.45879673957824707
3,134,0.4898831844329834
3,135,0.46532320976257324
3,136,0.4816169738769531
3,137,0.434063196182251
3,138,0.880011796951294
3,139,0.8502378463745117
3,140,0.9040846824645996
3,141,0.8602144718170166
3,142,1.201350212097168
3,143,1.3127572536468506
3,144,0.38837289810180664
3,145,0.4087073802947998
3,146,0.48538827896118164
3,147,0.4918973445892334
3,148,0.47942209243774414
3,149,0.48178577423095703
3,150,0.9579715728759766
3,151,0.49218082427978516
3,152,0.48599886894226074
3,153,0.9052307605743408
