idx,CommunicationRound,TimeCost
3,0,10.261932849884033
3,1,4.098053693771362
3,2,Error,8.943325319204689
3,3,4.25255274772644
3,4,3.996213674545288
3,5,Error,2.8395240567905073
3,6,4.11024022102356
3,7,4.235680341720581
3,8,Error,6.8496778727987095
3,9,Error,8.798907212979243
3,10,4.068853855133057
3,11,Error,12.233944058929469
3,12,3.960509777069092
3,13,4.457643985748291
3,14,4.108566522598267
3,15,4.217578172683716
3,16,Error,1.184867147049713
3,17,4.258990049362183
3,18,4.273981094360352
3,19,4.176831483840942
3,20,Error,10.570688942539586
3,21,Error,0.3657713663812592
3,22,Error,6.401994008313297
3,23,4.112049341201782
3,24,4.3339831829071045
3,25,4.5699827671051025
3,26,4.454057455062866
3,27,4.172300100326538
3,28,4.399646043777466
3,29,Error,1.816165848166863
3,30,4.037742614746094
3,31,4.230914354324341
3,32,4.234116315841675
3,33,4.30776309967041
3,34,Error,3.9587454408747496
3,35,4.327121019363403
3,36,Error,5.083172664939773
3,37,4.230828046798706
3,38,4.029627799987793
3,39,4.280142307281494
3,40,Error,0.43895972656463506
3,41,Error,2.9440259646551135
3,42,Error,3.2614180375920783
3,43,4.224534749984741
3,44,4.346169948577881
3,45,4.233586072921753
3,46,4.1928887367248535
3,47,4.376712083816528
3,48,4.145936012268066
3,49,4.271289587020874
3,50,4.263861417770386
3,51,4.110301971435547
